,,Ambient and household air pollution attributable death rate (per 100 000 population),Ambient and household air pollution attributable death rate (per 100 000 population),Ambient and household air pollution attributable death rate (per 100 000 population),"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)","Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)"
,,2016,2016,2016,2016,2016,2016
Country,Cause,Both sexes,Male,Female,Both sexes,Male,Female
Afghanistan,Total,95x[ 85–104],96x[ 85–106],95x[ 85–104],211x[ 189–231],229x[ 205–254],195x[ 174–214]
Afghanistan,Lower respiratory infections,31x[ 26–36],29x[ 24–34],33x[ 27–38],32x[ 26–36],33x[ 27–38],31x[ 25–35]
Afghanistan,"Trachea, bronchus, lung cancers",2x[ 1–2],2x[ 2–3],1x[ 1–1],4x[ 3–5],6x[ 4–7],2x[ 2–3]
Afghanistan,Ischaemic heart disease,39x[ 33–44],42x[ 36–48],35x[ 30–39],107x[ 92–121],120x[ 103–138],94x[ 81–106]
Afghanistan,Stroke,16x[ 13–18],14x[ 12–16],18x[ 15–20],45x[ 39–52],44x[ 37–50],47x[ 40–54]
Afghanistan,Chronic obstructive pulmonary disease,7x[ 5–8],7x[ 4–9],7x[ 6–8],23x[ 18–28],26x[ 16–34],21x[ 17–25]
Albania,Total,105x[ 70–147],118x[ 81–164],92x[ 60–131],68x[ 46–96],82x[ 57–115],55x[ 36–78]
Albania,Lower respiratory infections,5x[ 3–7],6x[ 3–8],5x[ 3–7],4x[ 2–6],4x[ 3–6],3x[ 2–5]
Albania,"Trachea, bronchus, lung cancers",11x[ 5–17],13x[ 6–22],8x[ 4–13],7x[ 3–11],9x[ 4–15],5x[ 3–8]
Albania,Ischaemic heart disease,51x[ 34–71],59x[ 40–82],43x[ 27–61],33x[ 22–46],42x[ 29–57],25x[ 16–36]
Albania,Stroke,31x[ 18–48],31x[ 19–47],31x[ 18–48],20x[ 11–30],21x[ 13–33],18x[ 10–28]
Albania,Chronic obstructive pulmonary disease,7x[ 4–11],9x[ 4–14],5x[ 3–8],4x[ 2–7],6x[ 3–10],3x[ 2–5]
Algeria,Total,40x[ 31–70],43x[ 34–74],38x[ 29–67],50x[ 39–86],55x[ 44–94],44x[ 34–79]
Algeria,Lower respiratory infections,7x[ 5–13],7x[ 4–12],7x[ 5–14],8x[ 5–14],8x[ 5–14],7x[ 5–14]
Algeria,"Trachea, bronchus, lung cancers",2x[ 1–4],3x[ 1–5],1x[ 0–2],2x[ 1–4],3x[ 2–7],1x[ 0–2]
Algeria,Ischaemic heart disease,22x[ 16–37],24x[ 18–38],20x[ 15–35],28x[ 21–46],31x[ 23–50],25x[ 18–43]
Algeria,Stroke,7x[ 5–12],7x[ 5–11],7x[ 4–12],8x[ 6–15],9x[ 6–15],8x[ 5–15]
Algeria,Chronic obstructive pulmonary disease,3x[ 2–5],4x[ 2–7],2x[ 1–4],4x[ 2–7],5x[ 3–9],3x[ 2–5]
Angola,Total,67x[ 58–76],65x[ 55–74],69x[ 60–79],119x[ 102–135],120x[ 102–137],117x[ 101–132]
Angola,Lower respiratory infections,44x[ 36–52],44x[ 36–52],45x[ 37–52],49x[ 40–57],53x[ 42–62],46x[ 37–54]
